pivot,derivation,similarity,category,affix
zakochać,zakochanie,0.8692556,V:N,-anie
gotycki,gotycko,0.913701,ADJ:ADV,-o
mistrzowski,mistrzowsko,0.7848297,ADJ:ADV,-o
czarować,zaczarować,0.7615838,V:V,za-
malinowy,malinowo,0.8729332,ADJ:ADV,-o
niebieski,niebiesko,0.82606274,ADJ:ADV,-o
czerwony,czerwono,0.778113,ADJ:ADV,-o
pomarańczowy,pomarańczowo,0.6933543,ADJ:ADV,-o
brązowy,brązowo,0.74175155,ADJ:ADV,-o
fioletowy,fioletowo,0.6841648,ADJ:ADV,-o
karmazyn,karmazynowy,0.8306784,N:ADJ,-owy
wiatrak,wiatraczek,0.92249936,N:N,-ek
balon,balonowy,0.7754604,N:ADJ,-owy
czarodziejski,czarodziejsko,0.83791447,ADJ:ADV,-o
czarodziej,czarodziejski,0.7617408,N:ADJ,-ski
doszczętny,doszczętnie,0.6845156,ADJ:ADV,-ie
pisać,zapisać,0.802366,V:V,za-
robić,zarobić,0.77834845,V:V,za-
wątroba,wątróbka,0.7211285,N:N,-ka
prywatny,prywatność,0.8579586,ADJ:N,-ość
spadek,spadkowy,0.7730947,N:ADJ,-owy
pozostały,pozostałość,0.75534314,ADJ:N,-ość
pierwotny,pierwotnie,0.9027754,ADJ:ADV,-ie
wolontariusz,wolontariuszka,0.8566382,N:N,-ka
dobrowolny,dobrowolnie,0.61524975,ADJ:ADV,-ie
praktykant,praktykantka,0.888804,N:N,-ka
stażysta,stażystka,0.9209979,N:N,-ka
wiwat,wiwatować,0.86206776,N:V,-ować
witryna,witrynka,0.7852107,N:N,-ka
wstawić,wstawka,0.63822114,V:N,-ka
sporządzić,sporządzać,0.8620698,V:V,-ać
jednokrotny,jednokrotnie,0.7317414,ADJ:ADV,-ie
kazić,zakazić,0.6963955,V:V,za-
razić,zarazić,0.63128984,V:V,za-
obyczaj,obyczajowy,0.7197498,N:ADJ,-owy
kreskówka,kreskówkowy,0.79094094,N:ADJ,-owy
pomidor,pomidorowy,0.856704,N:ADJ,-owy
doba,dobowy,0.7622166,N:ADJ,-owy
pomidor,pomidorek,0.9433901,N:N,-ek
restrykcja,restrykcyjny,0.8786464,N:ADJ,-ny
rozmieścić,rozmieszczenie,0.73182505,V:N,-enie
staromodny,staromodnie,0.89599174,ADJ:ADV,-ie
pogorszyć,pogarszać,0.88328314,V:V,-ać
fiszbin,fiszbinowy,0.8083638,N:ADJ,-owy
zabawka,zabawkowy,0.73259646,N:ADJ,-owy
łóżko,łóżkowy,0.7471849,N:ADJ,-owy
poduszka,poduszkowy,0.8205594,N:ADJ,-owy
haft,haftka,0.748271,N:N,-ka
pedał,pedałować,0.8120513,N:V,-ować
baldachim,baldachimowy,0.83430415,N:ADJ,-owy
łyk,łyczek,0.93615633,N:N,-ek
sportsmen,sportsmenka,0.93120575,N:N,-ka
powlec,powlekać,0.64156246,V:V,-ać
wygładzić,wygładzać,0.9249132,V:V,-ać
obracać,obracanie,0.8757624,V:N,-anie
skwer,skwerowy,0.9208388,N:ADJ,-owy
wkleić,wklejać,0.71217954,V:V,-ać
sznur,sznurować,0.76400626,N:V,-ować
sznurować,zasznurować,0.74657714,V:V,za-
wykreślić,wykreślać,0.69249594,V:V,-ać
czarter,czarterować,0.7637658,N:V,-ować
ostrzyć,zaostrzyć,0.65567756,V:V,za-
uwzględnić,uwzględniać,0.96291935,V:V,-ać
wzgląd,względny,0.5959221,N:ADJ,-ny
względny,względnie,0.6880846,ADJ:ADV,-ie
względny,względność,0.8776311,ADJ:N,-ość
duszpasterz,duszpasterski,0.86191374,N:ADJ,-ski
diametralny,diametralnie,0.79968053,ADJ:ADV,-ie
klif,klifowy,0.8205793,N:ADJ,-owy
mikrob,mikrobowy,0.8274901,N:ADJ,-owy
drobnoustrój,drobnoustrojowy,0.7001845,N:ADJ,-owy
poznać,zapoznać,0.90546036,V:V,za-
poznawać,zapoznawać,0.64201635,V:V,za-
oznajmić,oznajmiać,0.89744467,V:V,-ać
kwiczeć,zakwiczeć,0.67377883,V:V,za-
przeszkolić,przeszkalać,0.7364512,V:V,-ać
twórczy,twórczo,0.88341886,ADJ:ADV,-o
sonata,sonatowy,0.76236445,N:ADJ,-owy
łączyć,załączyć,0.6483127,V:V,za-
nieprawdziwy,nieprawdziwie,0.8824251,ADJ:ADV,-ie
krztusić,zakrztusić,0.8760121,V:V,za-
ustalić,ustalać,0.6963547,V:V,-ać
śluz,śluzowy,0.81109893,N:ADJ,-owy
oddech,oddechowy,0.75068116,N:ADJ,-owy
powolny,powolność,0.6798342,ADJ:N,-ość
pobudliwy,pobudliwość,0.8625214,ADJ:N,-ość
pobudzić,pobudzać,0.84360635,V:V,-ać
jakość,jakościowy,0.8316003,N:ADJ,-owy
ilość,ilościowy,0.7295136,N:ADJ,-owy
warunek,warunkować,0.6181211,N:V,-ować
sprawny,sprawność,0.91587174,ADJ:N,-ość
nająć,najmować,0.79693407,V:V,-ować
dżokej,dżokejka,0.9155197,N:N,-ka
spędzić,spędzać,0.95701176,V:V,-ać
zakrystian,zakrystianka,0.92504853,N:N,-ka
obligacja,obligacyjny,0.88313854,N:ADJ,-ny
dobrać,dobierać,0.68588984,V:V,-ać
warsztat,warsztacik,0.63584316,N:N,-ik
spółka,spółkować,0.58261484,N:V,-ować
morda,mordka,0.9206379,N:N,-ka
