pivot,derivation,similarity,category,affix
kanonier,kanonierski,0.92178655,N:ADJ,-ski
Orlean,Orleański,0.90363073,N:N,-ski
Orlean,Orleanka,0.9708913,N:N,-ka
kolaborant,kolaborantka,0.9730904,N:N,-ka
pocieszyciel,pocieszycielka,0.97089654,N:N,-ka
zaniepokojony,zaniepokojenie,0.94092685,ADJ:N,-enie
cybernetyczny,cybernetyczka,0.95955896,ADJ:N,-ka
cybernetyk,cybernetyczny,0.9492795,N:ADJ,-ny
biocybernetyk,biocybernetyczka,0.9712035,N:N,-ka
biocybernetyk,biocybernetyczny,0.9560001,N:ADJ,-ny
zatroskany,zatroskanie,0.9224676,ADJ:N,-ie
zmartwiony,zmartwienie,0.91045564,ADJ:N,-enie
kościsty,kościstość,0.9443474,ADJ:N,-ość
konkwistador,konkwistadorski,0.9486097,N:ADJ,-ski
karykaturzysta,karykaturzystka,0.98500776,N:N,-ka
przemyt,przemycik,0.9514762,N:N,-ik
nieczysty,nieczysto,0.97046363,ADJ:ADV,-o
Sabaudia,Sabaudka,0.9272813,N:N,-ka
norwidowski,norwidowskość,0.74299634,ADJ:N,-ość
norwidowski,norwidowsko,0.79504466,ADJ:ADV,-o
klincz,klinczować,0.9508022,N:V,-ować
libertarianin,libertarianka,0.9589578,N:N,-ka
libertarianin,libertariański,0.89614856,N:ADJ,-ski
mrozoodporny,mrozoodporność,0.86379653,ADJ:N,-ość
konwojować,konwojowanie,0.9453616,V:N,-anie
pozłacać,pozłacanie,0.96525,V:N,-anie
kusiciel,kusicielski,0.93027526,N:ADJ,-ski
nieaktualny,nieaktualność,0.8968717,ADJ:N,-ość
niestosowny,niestosownie,0.96196824,ADJ:ADV,-ie
niehonorowy,niehonorowo,0.9404248,ADJ:ADV,-o
niehonorowy,niehonorowość,0.87368035,ADJ:N,-ość
szczawiowy,szczawiówka,0.9453605,ADJ:N,-ka
silnia,silniowy,0.87464035,N:ADJ,-owy
ścigać,ściganie,0.95087546,V:N,-anie
lokomocja,lokomocyjny,0.9079022,N:ADJ,-ny
charyzmat,charyzmacik,0.9586692,N:N,-ik
charyzmatyk,charyzmatyczka,0.9690499,N:N,-ka
charyzmatyk,charyzmatyczny,0.90865946,N:ADJ,-ny
akredytować,akredytowanie,0.9054199,V:N,-anie
duszpasterski,duszpastersko,0.940226,ADJ:ADV,-o
duszpasterzować,duszpasterzowanie,0.9310548,V:N,-anie
domysł,domyślny,0.9617834,N:ADJ,-ny
zamieniać,zamienianie,0.936336,V:N,-anie
bombastyczny,bombastyczność,0.9325,ADJ:N,-ość
bombastyczny,bombastycznie,0.9656216,ADJ:ADV,-ie
wytaczak,wytaczaczek,0.9885756,N:N,-ek
błogi,błogość,0.9287605,ADJ:N,-ość
błogi,błogo,0.93573666,ADJ:ADV,-o
lutnik,lutniczka,0.8932677,N:N,-ka
uświęcać,uświęcenie,0.89779586,V:N,-enie
uświęcać,uświęcanie,0.9343685,V:N,-anie
zniewolić,zniewolenie,0.8797336,V:N,-enie
zniewolić,zniewalać,0.9215677,V:V,-ać
pijar,pijarka,0.9777656,N:N,-ka
pijar,pijarski,0.9507021,N:ADJ,-ski
kardynalski,kardynalstwo,0.9280049,ADJ:N,-stwo
nierdzewny,nierdzewka,0.96498775,ADJ:N,-ka
nierdzewny,nierdzewność,0.94734925,ADJ:N,-ość
Argonauta,Argonautka,0.98271614,N:N,-ka
alikwot,alikwotowy,0.93950826,N:ADJ,-owy
monotematyczny,monotematyczność,0.918336,ADJ:N,-ość
monotematyczny,monotematycznie,0.9501366,ADJ:ADV,-ie
Janowy,Janowo,0.92467505,ADJ:N,-o
Pawłowy,Pawłowo,0.8852994,ADJ:N,-o
napastliwy,napastliwie,0.9429054,ADJ:ADV,-ie
szlifierka,szlifierkowy,0.9612629,N:ADJ,-owy
komutator,komutatorowy,0.9406441,N:ADJ,-owy
zuch,zuchowy,0.8728563,N:ADJ,-owy
tuczyć,tuczenie,0.91739434,V:N,-enie
tuczyć,zatuczyć,0.9286887,V:V,za-
zuchna,zuchenka,0.9609704,N:N,-ka
prezenter,prezenterka,0.93757397,N:N,-ka
prezenter,prezenterski,0.869679,N:ADJ,-ski
drobić,drobienie,0.9138728,V:N,-enie
swędzić,swędzenie,0.94845223,V:N,-enie
profilaktyczny,profilaktyczność,0.93266565,ADJ:N,-ość
profilaktyczny,profilaktycznie,0.9276346,ADJ:ADV,-ie
perwersyjny,perwersyjność,0.90977013,ADJ:N,-ość
perwersyjny,perwersyjnie,0.962243,ADJ:ADV,-ie
tłuszczak,tłuszczaczek,0.99055445,N:N,-ek
encyklopedysta,encyklopedystka,0.9704421,N:N,-ka
zespolić,zespolenie,0.8183485,V:N,-enie
pożywny,pożywność,0.91251856,ADJ:N,-ość
kumulacja,kumulacyjny,0.93201023,N:ADJ,-ny
pożywiać,pożywianie,0.9564784,V:N,-anie
bridż,bridżowy,0.9507486,N:ADJ,-owy
dogmat,dogmatyka,0.9439049,N:N,-ka
dogmat,dogmacik,0.9101537,N:N,-ik
dogmat,dogmatowy,0.91954273,N:ADJ,-owy
maryjny,maryjność,0.9200967,ADJ:N,-ość
acetyl,acetylować,0.888886,N:V,-ować
acetyl,acetylowy,0.91128296,N:ADJ,-owy
gwardian,gwardiański,0.9052236,N:ADJ,-ski
albertyn,albertynka,0.9670331,N:N,-ka
pączkować,pączkowanie,0.94800544,V:N,-anie
dojazd,dojazdowy,0.91655636,N:ADJ,-owy
Malchus,Malchusowy,0.93593395,N:ADJ,-owy
Malcheusz,Malcheuszowy,0.95444983,N:ADJ,-owy
betlejemita,betlejemitka,0.947166,N:N,-ka
kafel,kafelkować,0.9566253,N:V,-ować
dzwoneczek,dzwoneczkowy,0.9530635,N:ADJ,-owy
brewiarz,brewiarzowy,0.9209981,N:ADJ,-owy
dławić,dławienie,0.93840957,V:N,-enie
nieszpory,nieszporny,0.9062177,N:ADJ,-ny
nieszpory,nieszporowy,0.90179014,N:ADJ,-owy
drogocenny,drogocenność,0.93301845,ADJ:N,-ość
ewangelizacja,ewangelizacyjny,0.82331294,N:ADJ,-ny
wiwatować,wiwatowanie,0.947816,V:N,-anie
responsorium,responsoryjny,0.90800315,N:ADJ,-ny
dziwożona,dziwożonka,0.95161104,N:N,-ka
kastylijski,kastylijskość,0.94353354,ADJ:N,-ość
praktykować,praktykowanie,0.91520405,V:N,-anie
kryptografia,kryptografka,0.9470308,N:N,-ka
kryptograficzny,kryptograficznie,0.9159242,ADJ:ADV,-ie
rabatka,rabatkowy,0.94617444,N:ADJ,-owy
zdetonować,zdetonowanie,0.9158497,V:N,-anie
złocić,złocenie,0.9661359,V:N,-enie
nudziarz,nudziarstwo,0.8762105,N:N,-stwo
nudziarz,nudziarski,0.94774044,N:ADJ,-ski
torpedować,torpedowanie,0.94944334,V:N,-anie
dyskryminować,dyskryminowanie,0.9180608,V:N,-anie
ewangelizować,ewangelizowanie,0.86939573,V:N,-anie
zewangelizować,zewangelizowanie,0.88695157,V:N,-anie
tygodniowy,tygodniówka,0.8862828,ADJ:N,-ka
tygodniowy,tygodniowo,0.94962204,ADJ:ADV,-o
chrystianizować,chrystianizowanie,0.9072174,V:N,-anie
głodówka,głodówkowy,0.9616683,N:ADJ,-owy
schrystianizować,schrystianizowanie,0.8823355,V:N,-anie
dechrystianizować,dechrystianizowanie,0.8904468,V:N,-anie
deewangelizować,deewangelizowanie,0.92259294,V:N,-anie
ewangelizator,ewangelizatorka,0.97947437,N:N,-ka
ewangelizacyjny,ewangelizacyjnie,0.8989235,ADJ:ADV,-ie
roztkliwiać,roztkliwianie,0.9609178,V:N,-anie
roztkliwiać,roztkliwienie,0.93624806,V:N,-enie
dostojny,dostojnie,0.9437886,ADJ:ADV,-ie
zielny,zielnik,0.9506782,ADJ:N,-ik
doktryner,doktrynerstwo,0.9275297,N:N,-stwo
doktryner,doktrynerka,0.98108816,N:N,-ka
doktryner,doktrynerski,0.9571596,N:ADJ,-ski
doktrynerski,doktrynersko,0.9713817,ADJ:ADV,-o
przewiercać,przewiercanie,0.9585225,V:N,-anie
Michałowy,Michałowo,0.923363,ADJ:N,-o
Marcel,Marcelek,0.91391,N:N,-ek
probówka,probówkowy,0.9558031,N:ADJ,-owy
próbówka,próbówkowy,0.9366535,N:ADJ,-owy
barykadować,barykadowanie,0.9632602,V:N,-anie
randomowy,randomowość,0.9212755,ADJ:N,-ość
randomowy,randomowo,0.9490223,ADJ:ADV,-o
liryk,liryczny,0.9056766,N:ADJ,-ny
oceaniczny,oceaniczność,0.93211335,ADJ:N,-ość
oceaniczny,zaoceaniczny,0.9554406,ADJ:ADJ,za-
uzajebiścić,uzajebiszczenie,0.8383279,V:N,-enie
uzajebistnić,uzajebistnienie,0.9230025,V:N,-enie
giercować,giercowanie,0.9475893,V:N,-anie
gestapowiec,gestapowski,0.9675,N:ADJ,-ski
wredny,wrednie,0.9340612,ADJ:ADV,-ie
wredny,wredność,0.95461106,ADJ:N,-ość
oszołom,oszołomstwo,0.9356935,N:N,-stwo
pastorał,pastorałka,0.9623781,N:N,-ka
powiadać,powiadanie,0.9432815,V:N,-anie
cewka,cewkowy,0.94127506,N:ADJ,-owy
podporucznik,podporucznikostwo,0.903524,N:N,-stwo
duszny,duszno,0.9424466,ADJ:ADV,-o
antytrynitarz,antytrynitarski,0.9584161,N:ADJ,-ski
piersiowy,piersiówka,0.9213474,ADJ:N,-ka
wiceprezes,wiceprezesować,0.8973641,N:V,-ować
nocleg,noclegować,0.9132709,N:V,-ować
noclegowicz,noclegowiczka,0.95786476,N:N,-ka
kolektywizacja,kolektywizować,0.8348754,N:V,-ować
kolektywizacja,kolektywizacyjny,0.93397665,N:ADJ,-ny
celebra,celebrować,0.8963135,N:V,-ować
kandelabr,kandelabrowy,0.9613466,N:N,-owy
celebrant,celebrantka,0.92569935,N:N,-ka
koncelebrować,koncelebrowanie,0.96133333,V:N,-anie
szlafmyca,szlafmycka,0.9756193,N:N,-ka
