pivot,derivation,similarity,category,affix
caja,cajón,0.5993878,N:N,-ón
tocar,tocador,0.8170269,V:N,-dor
comer,comedor,0.3326198,N:N,-dor
votar,votación,0.8429833,V:N,-ción
análisis,analista,0.6511239,N:N,-ista
pueblo,poblar,0.73573375,N:V,-ar
viso,visillo,0.776752,N:N,-illo
maza,maceta,0.68787473,N:N,-eta
café,cafetera,0.83988965,N:N,-era
plato,platillo,0.7425475,N:N,-illo
azúcar,azucarero,0.74862474,N:ADJ,-ero
hilo,hilera,0.7085695,N:N,-era
percha,perchero,0.87077385,N:N,-ero
maleta,maletín,0.8527015,N:N,-ín
paraguas,paragüero,0.8277529,N:N,-ero
escala,escalón,0.68242586,N:N,-ón
cerrar,cerradura,0.8177638,V:N,-dura
caballo,caballero,0.8462913,N:N,-ero
casa,casamiento,0.5434618,N:N,-miento
atacar,atacante,0.6923063,V:ADJ,-ante
secretario,secretaría,0.8937851,N:N,-ía
integrar,integración,0.7175402,V:N,-ción
ciudad,ciudadano,0.7624733,N:ADJ,-ano
paño,pañuelo,0.73939353,N:N,-uelo
pájaro,pajarita,0.74174315,N:N,-ita
candidato,candidatura,0.7849359,N:N,-ura
defensa,autodefensa,0.84925467,N:N,auto-
movilización,desmovilización,0.84744215,ADJ:N,des-
legal,legalidad,0.53720933,ADJ:N,-idad
aguaza,aguacero,0.6243888,N:N,-ero
agudo,agudeza,0.76934236,ADJ:N,-eza
ala,alero,0.6795407,N:N,-ero
alto,altillo,0.5532883,ADJ:N,-illo
asir,asidero,0.78045034,V:N,-dero
balaustre,balaustrada,0.859985,N:N,-ada
oficial,oficializar,0.6388637,ADJ:V,-izar
líder,liderazgo,0.6730357,N:N,-azgo
masificar,masificación,0.8950321,V:N,-ción
naturalizar,naturalización,0.9130578,V:N,-ción
absoluto,absolutismo,0.87952614,ADJ:N,-ismo
central,centralismo,0.877178,ADJ:N,-ismo
comandar,comandante,0.7612873,V:N,-ante
empeñar,desempeñar,0.8763214,V:V,des-
análisis,analizar,0.5956421,N:V,-izar
aparecer,desaparecer,0.77517986,V:V,des-
negociar,negociador,0.66093415,V:ADJ,-dor
enriquecer,enriquecimiento,0.88550025,V:N,-miento
arrollar,desarrollar,0.77854526,V:V,des-
expreso,expresar,0.89965844,ADJ:V,-ar
seguir,perseguir,0.87803155,V:V,per-
lengua,lenguaje,0.8134067,N:N,-aje
federar,federación,0.70156926,V:N,-ción
ganar,ganador,0.7786518,V:ADJ,-dor
pobre,pobreza,0.91967416,ADJ:N,-eza
programa,programar,0.53795725,N:V,-ar
vivir,sobrevivir,0.8670121,V:V,sobre-
asesino,asesinar,0.85050416,ADJ:V,-ar
cintura,cinturón,0.8106493,N:N,-ón
autor,autoría,0.5707012,N:N,-ía
plan,planear,0.7683026,N:V,-ear
bombarda,bombardear,0.9086439,V:V,-ear
sentir,sentimiento,0.6030896,V:N,-miento
acercar,acercamiento,0.56555426,V:N,-miento
compaña,compañero,0.6171875,N:N,-ero
mucho,muchacho,0.51945597,ADJ:N,-acho
señora,señorita,0.701335,N:N,-ita
nudo,nudillo,0.8267532,N:N,-illo
violar,violación,0.59798956,V:N,-ción
formación,malformación,0.79189014,N:N,mal-
penalizar,penalización,0.87487364,V:N,-ción
legislar,legislación,0.7015779,V:N,-ción
creer,creencia,0.74758345,V:N,-encia
recomendar,recomendación,0.72571135,V:N,-ción
legal,legalizar,0.5161063,ADJ:V,-izar
agrupar,agrupación,0.83457834,V:N,-ción
intenso,intensidad,0.81661856,N:N,-idad
oficina,oficinista,0.8424287,N:N,-ista
mercado,supermercado,0.86264604,N:N,super-
presión,presionar,0.6515728,N:V,-ar
prisión,prisionero,0.91426855,N:N,-ero
pelo,pelear,0.5494476,N:V,-ear
fútbol,futbolista,0.83137995,N:N,-ista
estera,esterilla,0.6162272,N:N,-illa
respirar,respiradero,0.83141446,V:N,-dero
cepo,cepillo,0.65698653,N:N,-illo
regular,regulación,0.5179003,ADJ:N,-ción
alto,altura,0.54855734,ADJ:N,-ura
mujer,mujeriego,0.8644176,N:ADJ,-iego
afable,afablemente,0.8395514,ADJ:ADV,-mente
pago,impago,0.60974586,N:N,in-
aguja,agujero,0.8235127,N:N,-ero
reportar,reportaje,0.8313231,V:N,-aje
documento,documental,0.84358114,N:N,-al
causa,causar,0.8425443,N:V,-ar
marca,marcar,0.49752313,N:V,-ar
oscuro,oscurecer,0.80507976,ADJ:V,-ecer
encadenar,desencadenar,0.93427354,V:V,des-
particular,particularmente,0.8826026,ADJ:ADV,-mente
público,públicamente,0.9303247,N:ADV,-mente
alto,altamente,0.5020426,ADJ:ADV,-mente
deliberado,deliberadamente,0.84101695,ADJ:ADV,-mente
intencional,intencionalmente,0.8538568,ADJ:ADV,-mente
crecer,crecimiento,0.59795016,V:N,-miento
desacelerar,desaceleración,0.9529152,V:N,-ción
aislar,aislamiento,0.7780315,V:N,-miento
carro,carril,0.83718836,N:N,-il
reflejo,reflejar,0.81148213,N:V,-ar
selección,seleccionar,0.7202614,N:V,-ar
actual,actualmente,0.5559448,ADJ:ADV,-mente
panda,pandilla,0.7612135,N:N,-illa
Rodrigo,Rodríguez,0.57040673,N:N,-ez
empleo,desempleo,0.5994333,N:N,des-
ventaja,desventaja,0.87658834,N:N,des-
analfabeto,analfabetismo,0.9394131,N:N,-ismo
especializar,especialización,0.9252198,V:N,-ción
desdoblar,desdoblamiento,0.9139866,V:N,-miento
nosocomio,nosocomial,0.812401,N:ADJ,-al
conexión,desconexión,0.920222,N:N,des-
idea,ideología,0.6505776,N:N,-logía
tirar,retirar,0.68803006,V:V,re-
favor,favorecer,0.7754775,N:V,-ecer
disculpa,disculpar,0.9322025,V:V,-ar
millón,millonario,0.8377783,N:ADJ,-ario
imperial,imperialismo,0.76973283,ADJ:N,-ismo
subsidio,subsidiar,0.88848174,N:V,-ar
calefacción,calefaccionar,0.765313,N:V,-ar
beneficio,beneficiar,0.82665795,N:V,-ar
chat,chatear,0.5272808,N:V,-ear
pantorra,pantorrilla,0.8780997,N:N,-illa
botar,rebotar,0.904777,V:V,re-
gota,gotear,0.6524795,N:V,-ear
asbesto,asbestosis,0.87183857,N:N,-osis
coño,coñazo,0.85584533,N:N,-azo
tonto,tontería,0.81059694,ADJ:N,-ería
meninge,meningitis,0.8343373,N:N,-itis
peritoneo,peritoneal,0.9185106,N:ADJ,-al
pleura,pleural,0.81968796,N:ADJ,-al
goma,gomina,0.83000296,N:N,-ina
costal,intercostal,0.8750706,ADJ:ADJ,inter-
solar,extrasolar,0.785937,ADJ:ADJ,extra-
vagina,vaginitis,0.77270484,N:N,-itis
tendón,tendinitis,0.8097174,N:N,-itis
provisión,provisional,0.81566715,N:ADJ,-al
perceptible,imperceptible,0.89099807,ADJ:ADJ,in-
tolerable,intolerable,0.91825646,ADJ:ADJ,in-
audible,inaudible,0.76920265,ADJ:ADJ,in-
engaño,desengaño,0.87586915,N:N,des-
decepción,decepcionar,0.74617094,N:V,-ar
grave,gravedad,0.5955489,ADJ:N,-dad
cansar,descansar,0.8464577,V:V,des-
actor,exactor,0.6937107,N:N,ex-
viajar,viajante,0.8511749,V:ADJ,-ante
gel,aerogel,0.71887326,N:N,aero-
picar,picador,0.60143644,V:N,-dor
faro,farero,0.7676696,N:N,-ero
banda,bandera,0.81682587,N:N,-era
pesado,pesadilla,0.77644503,ADJ:N,-illa
vaina,vainilla,0.8771738,N:N,-illa
deshidratar,deshidratación,0.9008095,V:N,-ción
plata,platina,0.8360055,N:N,-ina
obra,obrero,0.5164279,N:N,-ero
bello,belleza,0.6820498,ADJ:N,-eza
diestro,destreza,0.3659451,ADJ:N,-eza
completo,completamente,0.8317401,ADJ:ADV,-mente
torear,toreador,0.6569591,V:N,-dor
chapuz,chapucero,0.6905845,N:ADJ,-ero
cubrir,encubrir,0.8249602,V:V,en-
cubrir,recubrir,0.8621746,V:V,re-
desafortunado,desafortunadamente,0.8474228,ADJ:ADV,-mente
afortunado,afortunadamente,0.72419816,ADJ:ADV,-mente
gato,gatito,0.77810794,N:N,-ito
llorar,llorón,0.8722447,V:N,-ón
llamar,llamamiento,0.7627243,V:N,-miento
cojón,cojonudo,0.8147093,N:ADJ,-udo
amigo,amigote,0.7778277,N:N,-ote
congelar,descongelar,0.9425065,V:V,des-
manteca,mantequilla,0.8278901,N:N,-illa
lleno,llenito,0.7561552,ADJ:ADJ,-ito
abuelo,abolengo,0.7851606,N:N,-engo
presentar,presentable,0.7360299,V:ADJ,-able
radio,radial,0.50955987,N:ADJ,-al
color,unicolor,0.47649926,N:ADJ,uni-
humo,humear,0.68678087,N:V,-ear
vacunar,vacunación,0.7935569,V:N,-ción
vacuna,vacunar,0.8128639,N:V,-ar
vado,vadear,0.55587196,N:V,-ear
vagabundo,vagabundear,0.87903917,ADJ:V,-ear
vago,vagamente,0.74576217,ADJ:ADV,-mente
vago,vaguear,0.77258843,ADJ:V,-ear
vago,vaguedad,0.83619994,ADJ:N,-edad
valer,valedero,0.60632515,V:ADJ,-dero
valiente,valentía,0.8058436,ADJ:N,-ía
valor,valorar,0.7048117,N:V,-ar
título,titular,0.6513326,N:ADJ,-ar
cruz,cruzar,0.8346175,N:V,-ar
vano,vanamente,0.51128846,ADJ:ADV,-mente
vándalo,vandalismo,0.7174367,N:N,-ismo
vano,vanidad,0.49922526,ADJ:N,-idad
