verb,aspect,pair,pair_aspect,pair_type,similarity
komentować,ndk,skomentować,dk,empty,0.7085804672960427
koncentrować,ndk,skoncentrować,dk,empty,0.8192894970573641
kontaktować,ndk,skontaktować,dk,empty,0.7600996038460437
kontrolować,ndk,skontrolować,dk,empty,0.7210228154800908
kończyć,ndk,skończyć,dk,empty,0.7161168080501898
korzystać,ndk,skorzystać,dk,empty,0.8416082116059603
kosztować,ndk,skosztować,dk,empty,0.19650991554893238
kraść,ndk,ukraść,dk,empty,0.5751377201267537
kraść,ndk,okraść,dk,derived,0.4829118099967693
kraść,ndk,skraść,dk,derived,0.37702301985273856
kręcić,ndk,zakręcić,dk,empty,0.5163203761869114
krytykować,ndk,skrytykować,dk,empty,0.7407151832748116
krzyczeć,ndk,krzyknąć,dk,suffixed,0.7243117301538086
krzyczeć,ndk,pokrzyczeć,dk,derived,0.5112862391931973
krzyczeć,ndk,nakrzyczeć,dk,derived,0.46412107890068266
kształtować,ndk,ukształtować,dk,empty,0.7446108972577872
kupować,ndk,kupić,dk,suffixed,0.7996564076121715
kusić,ndk,skusić,dk,empty,0.607023961340045
kusić,ndk,podkusić,dk,derived,0.39146710483037084
kwestionować,ndk,zakwestionować,dk,empty,0.7679363054105279
lądować,ndk,wylądować,dk,empty,0.7542972881661038
lecieć,ndk,polecieć,dk,empty,0.8143352106507717
lecieć,ndk,nadlecieć,dk,derived,0.5247824260315178
lecieć,ndk,przelecieć,dk,derived,0.5804834204689127
lecieć,ndk,przylecieć,dk,derived,0.6882002558740453
lecieć,ndk,rozlecieć,dk,derived,0.3295120058552288
lecieć,ndk,wylecieć,dk,derived,0.6463333923807112
lecieć,ndk,zalecieć,dk,derived,0.47195983494655946
leczyć,ndk,wyleczyć,dk,empty,0.704874562991728
leczyć,ndk,podleczyć,dk,derived,0.5276785394795603
leczyć,ndk,uleczyć,dk,derived,0.5699973591497377
leczyć,ndk,zaleczyć,dk,derived,0.5573027426130256
lekceważyć,ndk,zlekceważyć,dk,empty,0.7280536255761236
liczyć,ndk,policzyć,dk,empty,0.31847837240169485
lśnić,ndk,zalśnić,dk,empty,0.4994066055145244
łamać,ndk,złamać,dk,empty,0.68828883281742
łapać,ndk,złapać,dk,empty,0.7512772649482004
łączyć,ndk,połączyć,dk,empty,0.778320330453006
łączyć,ndk,złączyć,dk,derived,0.46061439243204094
machać,ndk,machnąć,dk,suffixed,0.4796693815984632
machać,ndk,namachać,dk,derived,0.49495349347960527
machać,ndk,pomachać,dk,derived,0.6297503301159727
machać,ndk,zamachać,dk,derived,0.6008091119803641
maleć,ndk,zmaleć,dk,empty,0.6867364287506665
malować,ndk,namalować,dk,empty,0.6941958259425643
malować,ndk,pomalować,dk,empty,0.6302506080348089
malować,ndk,umalować,dk,empty,0.4533512285284942
mamrotać,ndk,wymamrotać,dk,empty,0.41550196362392067
marnować,ndk,zmarnować,dk,empty,0.690413026895843
marszczyć,ndk,zmarszczyć,dk,empty,0.5652419267443314
martwić,ndk,zmartwić,dk,empty,0.3813318018926225
marzyć,ndk,zamarzyć,dk,empty,0.5477010732182652
marzyć,ndk,rozmarzyć,dk,derived,0.3182697521669773
marzyć,ndk,wymarzyć,dk,derived,0.4120210644990032
męczyć,ndk,zmęczyć,dk,empty,0.5636038625296851
mierzyć,ndk,zmierzyć,dk,empty,0.6972058926807608
mieszać,ndk,pomieszać,dk,empty,0.4947992965760277
mieszać,ndk,wymieszać,dk,empty,0.45403851049378696
mieszać,ndk,zmieszać,dk,empty,0.4810792315700041
mieszać,ndk,wymieszać,dk,derived,0.45403851049378696
mieszać,ndk,rozmieszać,dk,derived,0.45319138466404985
mieszać,ndk,namieszać,dk,derived,0.3340898258093066
mieszać,ndk,przemieszać,dk,derived,0.4207994138930946
mieszać,ndk,wmieszać,dk,derived,0.4836822455760814
mieszać,ndk,zmieszać,dk,derived,0.4810792315700041
mieścić,ndk,zmieścić,dk,empty,0.5629457608064218
mijać,ndk,minąć,dk,suffixed,0.6319050864857918
mijać,ndk,pominąć,dk,derived,0.2496151890465057
milczeć,ndk,zamilczeć,dk,empty,0.5073766319482206
