pivot,derivation,similarity,category,affix
truć,trucizna,0.68480545,V:N,-izna
planeta,planetka,0.81261444,N:N,-ka
tokarz,tokarka,0.8325654,N:N,-ka
kierować,kierowca,0.75340164,V:N,-ca
sterować,sterownik,0.91486377,V:N,-nik
palić,palacz,0.68341196,V:N,-acz
więzić,więzienie,0.5778089,V:N,-enie
nagły,nagle,0.8539754,ADJ:ADV,-e
król,królestwo,0.8387448,N:N,-stwo
zdać,zdanie,0.63475287,V:N,-anie
butla,butelka,0.7313086,N:N,-ka
bieda,biedny,0.864691,N:ADJ,-ny
pytać,pytanie,0.6803507,V:N,-anie
móc,możliwy,0.83770764,V:ADJ,-liwy
komora,komórka,0.87328464,N:N,-ka
bliski,blisko,0.83840287,ADJ:ADV,-o
pić,picie,0.94692314,V:N,-ie
Wikipedia,wikipedysta,0.6453977,N:N,-ysta
krzyż,krzyżówka,0.8603332,N:N,-ówka
chodzić,podchodzić,0.66905004,V:V,pod-
straż,strażak,0.69299364,N:N,-ak
przestrzec,przestrzegać,0.5977829,V:V,-ać
grać,gracz,0.8328564,V:N,-acz
księga,księgarnia,0.72365606,N:N,-arnia
duży,dużo,0.82844716,ADJ:ADV,-o
wytrysk,wytryskiwać,0.7188458,N:V,-iwać
kazać,pokazać,0.81383467,V:V,po-
brud,brudny,0.91028035,N:ADJ,-ny
szwagier,szwagierka,0.7869985,N:N,-ka
noc,nocny,0.76859945,N:ADJ,-ny
skory,skoro,0.7746837,ADJ:ADV,-o
padek,przypadek,0.6386447,N:N,przy-
badać,badanie,0.8913509,V:N,-anie
naleźć,znaleźć,0.65611523,V:V,z-
robić,zrobić,0.91992056,V:V,z-
waga,ważny,0.747209,N:ADJ,-ny
Śląsk,śląski,0.7809165,N:ADJ,-i
spółka,społeczny,0.69447154,N:ADJ,-ny
sito,sitko,0.8849277,N:N,-ko
kawa,kawka,0.73669153,N:N,-ka
kopciuch,kopciuszek,0.90474564,N:N,-ek
cały,cało,0.8423093,ADJ:ADV,-o
miesiąc,miech,0.6297673,N:N,-ch
przymiot,przymiotnik,0.65150285,N:N,-nik
znaczyć,znaczenie,0.73209476,V:N,-enie
spoić,spójnik,0.4213336,V:N,-nik
mąż,męski,0.7657646,N:ADJ,-ski
stać,postać,0.66729784,V:V,po-
położyć,położenie,0.687359,V:N,-enie
panew,panewka,0.86892104,N:N,-ka
imię,imieniny,0.7497574,N:N,-iny
urodzić,urodziny,0.7451266,V:N,-iny
nożyce,nożyczki,0.92507344,N:N,-ki
Walenty,walentynki,0.5393731,N:N,-ki
uwaga,uważny,0.5771662,N:ADJ,-ny
jeść,zjeść,0.9592964,V:V,z-
drukować,drukarnia,0.65440416,V:N,-arnia
druk,drukować,0.7876278,N:V,-ować
większy,większość,0.7403383,ADJ:N,-ość
tyrać,tyranie,0.6049252,V:N,-anie
kuchnia,kuchenka,0.91452205,N:N,-ka
łaźnia,łazienka,0.6902707,N:N,-ka
piwo,piwnica,0.68956494,N:N,-nica
sypiać,sypialnia,0.5970038,V:N,-alnia
prać,pralnia,0.5952863,V:N,-alnia
lód,lodówka,0.81790143,N:N,-ówka
suszyć,suszarka,0.61376536,V:N,-arka
polski,polszczyzna,0.6905466,ADJ:N,-yzna
jeść,jedzenie,0.9122869,V:N,-enie
stąpić,następny,0.5704978,ADJ:ADJ,na-
kwadrat,kwadratowy,0.8788769,N:ADJ,-owy
łączyć,wyłączyć,0.90700966,V:V,wy-
pleść,plotka,0.65636826,V:N,-ka
środa,środowisko,0.64803076,N:N,-owisko
niedźwiedź,niedźwiedzica,0.7959933,N:N,-ica
guz,guzik,0.80434495,N:N,-ik
kłąb,kłębek,0.7427848,N:N,-ek
szczęście,szczęśliwy,0.8685362,N:ADJ,-liwy
kopnąć,kopnięcie,0.88680077,V:N,-ęcie
codzienny,codziennie,0.70530754,ADJ:ADV,-ie
płaski,płaszczyzna,0.8072096,ADJ:N,-yzna
strzała,strzałka,0.91484624,N:N,-ka
pocałować,pocałunek,0.85267514,V:N,-unek
pies,psica,0.69767076,N:N,-ica
kanapa,kanapka,0.68718266,N:N,-ka
wykrzyknąć,wykrzyknik,0.7760643,V:N,-nik
biskup,arcybiskup,0.8907378,N:N,arcy-
sprawiedliwy,sprawiedliwość,0.8462429,ADJ:N,-ość
sport,sportowiec,0.85906404,N:N,-owiec
otyły,otyłość,0.8415549,ADJ:N,-ość
model,modelka,0.8326617,N:N,-ka
mrówa,mrowisko,0.69190294,N:N,-isko
sznur,sznurek,0.72279686,N:N,-ek
waliza,walizka,0.9424672,N:N,-ka
ostać,zostać,0.68835115,V:V,z-
student,studentka,0.9071152,N:N,-ka
zapalić,zapalenie,0.8848282,V:N,-enie
złoto,złotnik,0.5937661,N:N,-nik
spoić,spojówka,0.6576403,V:N,-ówka
młody,młodość,0.76754403,ADJ:N,-ość
ssać,ssak,0.7332459,V:N,-ak
waga,ważka,0.70148593,N:N,-ka
ława,ławka,0.883432,N:N,-ka
jaszczur,jaszczurka,0.7321445,N:N,-ka
nowy,nowość,0.84423786,ADJ:N,-ość
przewodzić,przewodnik,0.5907443,V:N,-nik
ogień,ognisko,0.80028737,N:N,-isko
poświęcić,poświęcenie,0.9165317,V:N,-enie
piosenka,piosenkarz,0.82148737,N:N,-arz
popiół,popielniczka,0.6551517,N:N,-niczka
budować,odbudować,0.9279504,V:V,od-
siny,sinica,0.7300799,ADJ:N,-ica
