pivot,derivation,similarity,category,affix
akwaforta,akwafortowy,0.5473432061877532,N:ADJ,-owy
akwariarz,akwariarstwo,0.755583730301097,N:N,-stwo
allantoina,allantoinowy,0.713707192689463,N:ADJ,-owy
alantoina,alantoinowy,0.6449432874049392,N:ADJ,-owy
albit,albitowy,0.5957425197316738,N:ADJ,-owy
albumina,albuminowy,0.6298684192722224,N:ADJ,-owy
aldoza,aldozowy,0.480557582690993,N:ADJ,-owy
aleksandryt,aleksandrytowy,0.799986270172324,N:ADJ,-owy
aleksytymia,aleksytymik,0.7745169389809718,N:N,-ik
alergologia,alergologiczny,0.6486452759969524,N:ADJ,-iczny
aleuron,aleuronowy,0.7076259262074756,N:ADJ,-owy
aleuryt,aleurytowy,0.8091711262352024,N:ADJ,-owy
algebraik,algebraiczka,0.8232759562962029,N:N,-ka
algezymetr,algezymetria,0.6681600928514241,N:N,-ia
algina,alginowy,0.6568072572226521,N:ADJ,-owy
algologia,algologiczny,0.6508958521614333,N:ADJ,-iczny
aliant,aliancki,0.46135574414180414,N:ADJ,-cki
aliant,aliantka,0.5794400557994422,N:N,-ka
alit,alitowy,0.43947065562683907,N:ADJ,-owy
alizaryna,alizarynowy,0.6646862652991258,N:ADJ,-owy
alkan,alkanowy,0.6390529757597655,N:ADJ,-owy
alkanina,alkaninowy,0.7949617030424885,N:ADJ,-owy
alken,alkenowy,0.5601924294031697,N:ADJ,-owy
alkil,alkilować,0.7354815938900048,N:V,-ować
alkil,alkilowy,0.8751830213878926,N:ADJ,-owy
alkin,alkinowy,0.7049860027396613,N:ADJ,-owy
alkohol,alkoholiczny,0.4451850607702327,N:ADJ,-iczny
alkohol,alkoholizacja,0.32495890860769394,N:N,-izacja
alkohol,alkoholan,0.4956260565334202,N:N,-an
alkoholan,alkoholanowy,0.6846099451662263,N:ADJ,-owy
alkoholizować,alkoholizowany,0.7509965895967399,V:ADJ,-any
alkomat,alkomatowy,0.6434287034868847,N:ADJ,-owy
alkowa,alkowiany,0.3769850620421994,N:ADJ,-any
allelopatia,allelopatyczny,0.750293303635173,N:ADJ,-yczny
allelopatia,allelopatyczny,0.750293303635173,N:ADJ,-ny
ałycza,ałyczowy,0.45193639999805635,N:ADJ,-owy
ałunit,ałunitowy,0.5955641590451087,N:ADJ,-owy
alochromatyzm,alochromatyczny,0.8277375315989581,N:ADJ,-yczny
allochromatyzm,allochromatyczny,0.863313133114048,N:ADJ,-yczny
alochton,alochtoniczny,0.6101228251741059,N:ADJ,-iczny
allochton,allochtoniczny,0.7476564269160869,N:ADJ,-iczny
alodium,alodialny,0.4308794692529916,N:ADJ,-alny
aloes,aloesowy,0.5803529449590726,N:ADJ,-owy
mieć,umieć,0.5719021742048203,V:V,u-
alogamia,alogamiczny,0.596096875512718,N:ADJ,-iczny
allogamia,allogamiczny,0.7007359277468983,N:ADJ,-iczny
alogiczny,alogicznie,0.4892863046168656,ADJ:ADV,-ie
alogiczny,alogiczność,0.41343186911762353,ADJ:N,-ość
alokacja,alokacyjny,0.54142245222824,N:ADJ,-ny
alokacja,alokować,0.47141970854525006,N:V,-ować
alokucja,alokucyjny,0.6532681357595679,N:ADJ,-ny
alopata,alopatka,0.7553858051546373,N:N,-ka
alopatia,alopaticzny,0.732063643767212,N:ADJ,-iczny
allosom,allosomowy,0.7046999701644331,N:ADJ,-owy
alpinizm,alpinista,0.5882004830126795,N:N,-ista
alpinistyka,alpinistyczny,0.6687740866283894,N:ADJ,-ny
altembas,altembasowy,0.7312568768022257,N:ADJ,-owy
alteracja,alterować,0.375474776563397,N:V,-ować
alterglobalizm,alterglobalista,0.7219492770758211,N:N,-ista
alterglobalista,alterglobalistka,0.8659870234703826,N:N,-ka
altimetria,altimetryczny,0.7258595948968568,N:ADJ,-yczny
altimetria,altimetryczny,0.7258595948968568,N:ADJ,-ny
aluwium,aluwialny,0.7022003497253139,N:ADJ,-alny
alternatywny,alternatywnie,0.508099305038077,ADJ:ADV,-ie
