"category","model","language","type","version","mean_similarity"
"V;PRS;1;PL","Word2Vec","Polish","Inflection","Clean",0.506419781651387
"V;PRS;1;SG","FastText","Polish","Inflection","Clean",0.568328585094517
"V;PRS;1;SG","Multilingual BERT","Polish","Inflection","Clean",0.937074911972556
"V;PRS;1;SG","Word2Vec","Polish","Inflection","Clean",0.49373218086716
"V;PRS;2;PL","FastText","Polish","Inflection","Clean",0.490435402282616
"V;PRS;2;PL","Multilingual BERT","Polish","Inflection","Clean",0.931938999502573
"V;PRS;2;PL","Word2Vec","Polish","Inflection","Clean",0.444796387120506
"V;PRS;2;SG","FastText","Polish","Inflection","Clean",0.533053661999423
"V;PRS;2;SG","Multilingual BERT","Polish","Inflection","Clean",0.932210132692967
"V;PRS;2;SG","Word2Vec","Polish","Inflection","Clean",0.468929905318712
"V;PRS;3;PL","FastText","Polish","Inflection","Clean",0.592907490682366
"V;PRS;3;PL","Multilingual BERT","Polish","Inflection","Clean",0.937524010617496
"V;PRS;3;PL","Word2Vec","Polish","Inflection","Clean",0.549197617756038
"V;PRS;3;SG","FastText","Polish","Inflection","Clean",0.612171693015597
"V;PRS;3;SG","Multilingual BERT","Polish","Inflection","Clean",0.934454347581475
"V;PRS;3;SG","Word2Vec","Polish","Inflection","Clean",0.539497095900911
"V;PST;1;PL","FastText","Polish","Inflection","Clean",0.489696661227794
"V;PST;1;PL","Multilingual BERT","Polish","Inflection","Clean",0.89640922313981
"V;PST;1;PL;MASC;HUM","FastText","Polish","Inflection","Clean",0.528838989844943
"V;PST;1;PL;MASC;HUM","Multilingual BERT","Polish","Inflection","Clean",0.911319079798578
"V;PST;1;SG;FEM","FastText","Polish","Inflection","Clean",0.553490836445343
"V;PST;1;SG;FEM","Multilingual BERT","Polish","Inflection","Clean",0.936424764253554
"V;PST;1;SG;FEM","Word2Vec","Polish","Inflection","Clean",0.425936454263963
"V;PST;1;SG;MASC","FastText","Polish","Inflection","Clean",0.557236875382366
"V;PST;1;SG;MASC","Multilingual BERT","Polish","Inflection","Clean",0.92556710563981
"V;PST;1;SG;MASC","Word2Vec","Polish","Inflection","Clean",0.382457951492187
"V;PST;2;PL","FastText","Polish","Inflection","Clean",0.458123439146924
"V;PST;2;PL","Multilingual BERT","Polish","Inflection","Clean",0.913322143116114
